site,deployed,method,rank,score,is_deployed
Site 1 - Jizan ERT,ERT,ERT,1,70.15,True
Site 1 - Jizan ERT,ERT,Induced_Polarization,2,51.54,False
Site 1 - Jizan ERT,ERT,TEM,3,47.76,False
Site 1 - Jizan ERT,ERT,GPR,4,45.22,False
Site 1 - Jizan ERT,ERT,Seismic_Refraction,5,43.94,False
Site 1 - Jizan ERT,ERT,Self_Potential,6,39.57,False
Site 1 - Jizan ERT,ERT,Magnetometry,7,38.47,False
Site 1 - Jizan ERT,ERT,Radiometric,8,32.48,False
Site 1 - Jizan ERT,ERT,Gravity,9,18.2,False
Site 2 - Jazan TDEM,TEM,ERT,1,69.42,False
Site 2 - Jazan TDEM,TEM,Induced_Polarization,2,54.41,False
Site 2 - Jazan TDEM,TEM,Self_Potential,3,54.21,False
Site 2 - Jazan TDEM,TEM,TEM,4,51.12,True
Site 2 - Jazan TDEM,TEM,Seismic_Refraction,5,48.5,False
Site 2 - Jazan TDEM,TEM,GPR,6,40.22,False
Site 2 - Jazan TDEM,TEM,Magnetometry,7,39.08,False
Site 2 - Jazan TDEM,TEM,Radiometric,8,30.11,False
Site 2 - Jazan TDEM,TEM,Gravity,9,20.54,False
Site 3 - SE-Riyadh VES,ERT,ERT,1,63.48,True
Site 3 - SE-Riyadh VES,ERT,TEM,2,53.65,False
Site 3 - SE-Riyadh VES,ERT,Induced_Polarization,3,51.54,False
Site 3 - SE-Riyadh VES,ERT,Seismic_Refraction,4,47.8,False
Site 3 - SE-Riyadh VES,ERT,Self_Potential,5,34.1,False
Site 3 - SE-Riyadh VES,ERT,GPR,6,34.07,False
Site 3 - SE-Riyadh VES,ERT,Magnetometry,7,33.18,False
Site 3 - SE-Riyadh VES,ERT,Radiometric,8,29.31,False
Site 3 - SE-Riyadh VES,ERT,Gravity,9,21.34,False
