scenario,method,rank1_prob,mean_score,p5_score,p95_score
"Site 1 (Jizan, ERT)",ERT,1.0,78.57,73.03,83.05
"Site 1 (Jizan, ERT)",Induced_Polarization,0.0,59.72,53.36,65.19
"Site 1 (Jizan, ERT)",Self_Potential,0.0,52.3,43.79,58.73
"Site 1 (Jizan, ERT)",GPR,0.0,27.66,23.06,31.63
"Site 1 (Jizan, ERT)",TEM,0.0,62.95,58.5,68.13
"Site 1 (Jizan, ERT)",Seismic_Refraction,0.0,49.9,47.78,53.35
"Site 1 (Jizan, ERT)",Magnetometry,0.0,29.68,26.25,32.35
"Site 1 (Jizan, ERT)",Gravity,0.0,16.99,12.21,21.85
"Site 1 (Jizan, ERT)",Radiometric,0.0,14.45,8.47,18.94
"Site 2 (Jazan, TDEM)",ERT,1.0,76.19,70.49,80.73
"Site 2 (Jazan, TDEM)",Induced_Polarization,0.0,57.76,51.91,62.32
"Site 2 (Jazan, TDEM)",Self_Potential,0.0,57.73,54.46,60.45
"Site 2 (Jazan, TDEM)",GPR,0.0,29.75,22.82,36.24
"Site 2 (Jazan, TDEM)",TEM,0.0,65.36,61.8,69.64
"Site 2 (Jazan, TDEM)",Seismic_Refraction,0.0,49.67,47.68,53.01
"Site 2 (Jazan, TDEM)",Magnetometry,0.0,28.5,24.66,31.54
"Site 2 (Jazan, TDEM)",Gravity,0.0,17.03,12.84,21.33
"Site 2 (Jazan, TDEM)",Radiometric,0.0,12.22,5.76,17.24
"Site 3 (SE-Riyadh, VES)",ERT,1.0,68.51,63.06,74.29
"Site 3 (SE-Riyadh, VES)",Induced_Polarization,0.0,50.09,43.9,54.91
"Site 3 (SE-Riyadh, VES)",Self_Potential,0.0,41.17,31.0,52.81
"Site 3 (SE-Riyadh, VES)",GPR,0.0,21.29,15.87,26.04
"Site 3 (SE-Riyadh, VES)",TEM,0.0,61.21,57.32,64.51
"Site 3 (SE-Riyadh, VES)",Seismic_Refraction,0.0,45.85,42.67,49.0
"Site 3 (SE-Riyadh, VES)",Magnetometry,0.0,24.81,19.13,28.89
"Site 3 (SE-Riyadh, VES)",Gravity,0.0,14.53,12.11,16.76
"Site 3 (SE-Riyadh, VES)",Radiometric,0.0,9.71,6.95,13.51
